filename,content
0359.txt,darn
0371.txt,heart
0417.txt,bread
0403.txt,sand
0365.txt,leak
0173.txt,ate
0167.txt,white
0198.txt,We gathered shells on the beach.
0007.txt,race
0013.txt,"Well, he is nearly ninety-three years old;"
0239.txt,side
0205.txt,pat
0211.txt,I feel I can play this weekend.
0210.txt,knot
0204.txt,bear
0238.txt,thigh
0012.txt,[say 'Eee' in a very high pitch]
0006.txt,gadget
0199.txt,Mother sews yellow gingham aprons.
0166.txt,The islands are sparsely populated.
0172.txt,near
0402.txt,right
0364.txt,fill
0370.txt,much
0416.txt,tango
0358.txt,witch
0366.txt,xxx
0400.txt,We bought a brown chair.
0414.txt,ham
0372.txt,thorn
0399.txt,yankee
0158.txt,write
0164.txt,I looked up and noticed two old men.
0170.txt,we're
0038.txt,rate
0010.txt,air
0004.txt,farm
0212.txt,group
0206.txt,menu
0207.txt,single
0213.txt,She is thinner than I am.
0005.txt,rain
0011.txt,tip
0039.txt,range
0171.txt,mut
0165.txt,He will allow a rare lie.
0159.txt,charlie
0398.txt,Each one volunteered to jump first.
0415.txt,"Although always alone, we survive."
0373.txt,Carl lives in a lovely home
0367.txt,papa
0401.txt,slicker
0405.txt,wicked
0363.txt,cake
0377.txt,There is a treehouse up above.
0411.txt,dread
0388.txt,Only lawyers love millionaires.
0161.txt,bad
0175.txt,suit
0149.txt,hear
0015.txt,hair
0001.txt,xxx
0029.txt,"Except in the winter when the ooze or snow or ice prevents,"
0217.txt,shoot
0203.txt,snoop
0202.txt,sway
0216.txt,slip
0028.txt,corn
0014.txt,"Well, he is nearly ninety-three years old;"
0148.txt,area
0174.txt,cheer
0160.txt,briar
0389.txt,wit
0376.txt,pretty
0410.txt,Beg that guard for one gallon of gas.
0404.txt,The wait for work can be very long.
0362.txt,He further proposed grants of an unspecified sum for experimental hospitals.
0412.txt,Ned
0374.txt,Carl lives in a lively home.
0360.txt,bloat
0406.txt,nod
0348.txt,six
0176.txt,"tear [as in ""tear in my eye""]"
0162.txt,Bright sunshine shimmers on the ocean.
0189.txt,whoop
0002.txt,now
0016.txt,alpha
0200.txt,through
0214.txt,here
0228.txt,jungle
0229.txt,jungle
0215.txt,air
0201.txt,though
0017.txt,warm
0003.txt,know
0188.txt,tile
0163.txt,pay
0177.txt,mere
0349.txt,lima
0361.txt,Both injuries were to the same leg.
0407.txt,said
0413.txt,walk
0375.txt,at
0312.txt,"Night after night, they received annoying phone calls."
0306.txt,november
0138.txt,All the big baseball players get traded.
0110.txt,spark
0104.txt,for
0058.txt,train
0064.txt,chair
0070.txt,one
0266.txt,and
0272.txt,thought
0299.txt,cart
0298.txt,oscar
0273.txt,The misguided souls have lost their way.
0267.txt,hill
0071.txt,sticks
0065.txt,yet he still thinks as swiftly as ever.
0059.txt,park
0105.txt,floor
0111.txt,You wished to know all about my grandfather.
0139.txt,no
0307.txt,november
0313.txt,harp
0339.txt,The job provides many benefits.
0305.txt,vat
0311.txt,top
0107.txt,The quick brown fox jumps over the lazy dog.
0113.txt,rake
0073.txt,input/images/kitchen.jpg
0067.txt,sip
0098.txt,"We have often urged him to walk more and smoke less,"
0259.txt,pitting
0271.txt,I expect we'll bounce back this week.
0265.txt,mush
0264.txt,loyal
0270.txt,hotel
0258.txt,barn
0099.txt,"he dresses himself in an ancient black frock coat,"
0066.txt,beat
0072.txt,dug
0112.txt,bit
0106.txt,jacket
0310.txt,fitting
0304.txt,sergeant
0338.txt,Alfalfa is healthy for you.
0300.txt,The museum hires musicians every evening.
0314.txt,spark
